record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
50,1,2,,1083,1,1083,,,,,,,,,,
51,1,2,,1083,,,110508,1,SN16,SN16,715,715,1173,1173,,
50,1,2,,1084,1,1084,,,,,,,,,,
51,1,2,,1084,,,120304,1,SN16,SN5943,247,247,823,823,,
50,1,2,,1085,1,1085,,,,,,,,,,
51,1,2,,1085,,,120304,1,SN5943,SN16,840,840,1234,1234,,
50,1,2,,1086,1,1086,,,,,,,,,,
51,1,2,,1086,,,120601,1,SN16,SN1496,85,85,720,720,,
50,1,2,,1087,1,1087,,,,,,,,,,
51,1,2,,1087,,,110603,1,SN5475,SN16,915,915,1400,1400,,
50,1,2,,1088,1,1088,,,,,,,,,,
51,1,2,,1088,,,110603,1,SN16,SN5475,256,256,901,901,,
50,1,2,,1089,1,1089,,,,,,,,,,
51,1,2,,1089,,,120806,1,SN16,SN6144,355,355,842,842,,
50,1,2,,1090,1,1090,,,,,,,,,,
51,1,2,,1090,,,120806,1,SN6144,SN16,858,858,1216,1216,,
50,1,2,,1091,1,1091,,,,,,,,,,
51,1,2,,1091,,,111309,1,SN16,SN20016,390,390,846,846,,
50,1,2,,1092,1,1092,,,,,,,,,,
51,1,2,,1092,,,111309,1,SN6228,SN20016,861,861,1201,1201,,
50,1,2,,1093,1,1093,,,,,,,,,,
51,1,2,,1093,,,111309,1,SN6228,SN16,1212,1212,1666,1666,,
50,1,2,SIMM FX,1094,1,1094,,,,,,,,,,
51,1,2,SIMM FX,1094,,,121802,1,SN16,SN3872,246,246,829,829,,
50,1,2,,1095,1,1095,,,,,,,,,,
51,1,2,,1095,,,121802,1,SN3872,SN16,843,843,1275,1275,,
50,1,2,,1096,1,1096,,,,,,,,,,
51,1,2,,1096,,,111005,1,SN655,SN655,692,692,1108,1108,,
50,1,2,,1097,1,1097,,,,,,,,,,
51,1,2,,1097,,,111005,1,SN655,SN16,1133,1133,1604,1604,,
50,1,2,,1098,1,1098,,,,,,,,,,
51,1,2,,1098,,,120622,1,SN3692,SN16,947,947,1556,1556,,
50,1,2,,1099,1,1099,,,,,,,,,,
51,1,2,,1099,,,110201,1,SN3970,SN16,774,774,1343,1343,,
50,1,2,,1100,1,1100,,,,,,,,,,
51,1,2,,1100,,,110201,1,SN16,SN3970,236,236,763,763,,
50,1,2,,1101,1,1101,,,,,,,,,,
51,1,2,,1101,,,122002,1,SN16,SN6970,270,270,896,896,,
50,1,2,,1102,1,1102,,,,,,,,,,
51,1,2,,1102,,,122002,1,SN6970,SN16,910,910,1525,1525,,
50,1,2,,1103,1,1103,,,,,,,,,,
51,1,2,,1103,,,121903,1,SN16,SN20016,272,272,891,891,,
50,1,2,,1104,1,1104,,,,,,,,,,
51,1,2,,1104,,,111508,1,SN16,SN677,353,353,828,828,,
50,1,2,,1105,1,1105,,,,,,,,,,
51,1,2,,1105,,,120310,1,SN16,SN5943,326,326,801,801,,
50,1,2,,1106,1,1106,,,,,,,,,,
51,1,2,,1106,,,120310,1,SN5943,SN16,820,820,1214,1214,,
50,1,2,,1107,1,1107,,,,,,,,,,
