record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,1,1,121,202,121,21240,98580,SN19,SN19,SN19,121,Bus
10,1,1,122,202,122,29160,93420,SN19,SN19,SN19,122,Bus
10,1,1,123,202,123,30180,96900,SN19,SN19,SN19,123,Bus
10,1,1,124,202,124,31800,95220,SN19,SN19,SN19,124,Bus
10,1,1,125,203,125,12720,66720,SN16,SN16,SN16,125,Bus
10,1,1,126,203,126,16020,71580,SN16,SN16,SN16,126,Bus
10,1,1,127,203,127,16560,89700,SN16,SN16,SN16,127,Bus
10,1,1,128,203,128,21360,83340,SN16,SN16,SN16,128,Bus
10,1,1,129,203,129,22560,95400,SN16,SN16,SN16,129,Bus
10,1,1,130,203,130,38820,92520,SN16,SN16,SN16,130,Bus
10,1,1,131,203,131,42000,70380,SN16,SN16,SN16,131,Bus
10,1,1,132,203,132,43800,86640,SN16,SN16,SN16,132,Bus
10,1,1,133,206,133,5100,94080,SN16,SN16,SN16,133,Bus
10,1,1,134,206,134,8700,93300,SN16,SN16,SN16,134,Bus
10,1,1,135,206,135,12300,80160,SN16,SN16,SN16,135,Bus
10,1,1,136,206,136,15000,93420,SN16,SN16,SN16,136,Bus
10,1,1,137,206,137,15180,69900,SN16,SN16,SN16,137,Bus
10,1,1,138,206,138,16920,99660,SN16,SN16,SN16,138,Bus
10,1,1,139,206,139,18360,96360,SN16,SN16,SN16,139,Bus
10,1,1,140,206,140,20640,93360,SN16,SN16,SN16,140,Bus
10,1,1,141,206,141,21240,90000,SN16,SN16,SN16,141,Bus
10,1,1,142,206,142,22920,85920,SN16,SN16,SN16,142,Bus
10,1,1,143,206,143,26820,83520,SN16,SN16,SN16,143,Bus
10,1,1,144,206,144,36480,76740,SN16,SN16,SN16,144,Bus
10,1,1,145,207,145,22680,72120,SN16,SN16,SN16,145,Bus
10,1,1,146,207,146,26040,74280,SN16,SN16,SN16,146,Bus
10,1,1,147,208,147,16260,96120,SN16,SN16,SN16,147,Bus
10,1,1,148,208,148,17280,92460,SN16,SN16,SN16,148,Bus
10,1,1,149,208,149,19620,93780,SN16,SN16,SN16,149,Bus
