record type,booking id,direction num,direction name,route id,route variant,sequence num,total sequence num,from timepoint name,to timepoint name,from longitude,from latitude,to longitude,to latitude,from stop name,to stop name,from timepoint id,to timepoint id,from stop id,to stop id
80,1,0,OUTBOUND,101,-,22,56,SN2200,,-115.242793,36.115383,-115.242802,36.118696,SN2200,SN2198,2200,0,2200,2198
80,1,0,OUTBOUND,101,-,23,56,,,-115.242802,36.118696,-115.242812,36.122504,SN2198,SN2247,0,0,2198,2247
80,1,0,OUTBOUND,101,-,24,56,,SN2234,-115.242812,36.122504,-115.24282,36.126945,SN2247,SN2234,0,2234,2247,2234
80,1,0,OUTBOUND,101,-,25,56,SN2234,,-115.24282,36.126945,-115.242821,36.130188,SN2234,SN2194,2234,0,2234,2194
80,1,0,OUTBOUND,101,-,26,56,,,-115.242821,36.130188,-115.242791,36.133813,SN2194,SN2222,0,0,2194,2222
80,1,0,OUTBOUND,101,-,27,56,,,-115.242791,36.133813,-115.242768,36.137494,SN2222,SN2196,0,0,2222,2196
80,1,0,OUTBOUND,101,-,28,56,,,-115.242768,36.137494,-115.242759,36.141155,SN2196,SN2197,0,0,2196,2197
80,1,0,OUTBOUND,101,-,29,56,,SN2228,-115.242759,36.141155,-115.242798,36.145465,SN2197,SN2228,0,2228,2197,2228
80,1,0,OUTBOUND,101,-,30,56,SN2228,,-115.242798,36.145465,-115.242975,36.148755,SN2228,SN2218,2228,0,2228,2218
80,1,0,OUTBOUND,101,-,31,56,,,-115.242975,36.148755,-115.243163,36.152405,SN2218,SN2219,0,0,2218,2219
80,1,0,OUTBOUND,101,-,32,56,,,-115.243163,36.152405,-115.243344,36.155811,SN2219,SN2192,0,0,2219,2192
80,1,0,OUTBOUND,101,-,33,56,,SN2186,-115.243344,36.155811,-115.243566,36.159959,SN2192,SN2186,0,2186,2192,2186
80,1,0,OUTBOUND,101,-,34,56,SN2186,,-115.243566,36.159959,-115.24391,36.163465,SN2186,SN2209,2186,0,2186,2209
80,1,0,OUTBOUND,101,-,35,56,,SN2181,-115.24391,36.163465,-115.244102,36.166941,SN2209,SN2181,0,2181,2209,2181
80,1,0,OUTBOUND,101,-,36,56,SN2181,,-115.244102,36.166941,-115.244193,36.172729,SN2181,SN2255,2181,0,2181,2255
80,1,0,OUTBOUND,101,-,37,56,,,-115.244193,36.172729,-115.242172,36.179313,SN2255,SN2230,0,0,2255,2230
80,1,0,OUTBOUND,101,-,38,56,,SN2252,-115.242172,36.179313,-115.242153,36.181579,SN2230,SN2252,0,2252,2230,2252
80,1,0,OUTBOUND,101,-,39,56,SN2252,,-115.242153,36.181579,-115.24216,36.185483,SN2252,SN4039,2252,0,2252,4039
80,1,0,OUTBOUND,101,-,40,56,,,-115.24216,36.185483,-115.242172,36.190143,SN4039,SN2250,0,0,4039,2250
80,1,0,OUTBOUND,101,-,41,56,,,-115.242172,36.190143,-115.242204,36.193013,SN2250,SN2202,0,0,2250,2202
80,1,0,OUTBOUND,101,-,42,56,,SN2210,-115.242204,36.193013,-115.241887,36.196526,SN2202,SN2210,0,2210,2202,2210
