record type,place id,place name,place description,at street abbr,on street abbr,district name,place type
4,766,SN766,WB Desert Inn after Boulder,AtStreetAbbr766,OnStreetAbbr766,DistrictName766,0
4,775,SN775,EB Desert Inn after Eastern,AtStreetAbbr775,OnStreetAbbr775,DistrictName775,0
4,776,SN776,WB Desert Inn after Eastern,AtStreetAbbr776,OnStreetAbbr776,DistrictName776,0
4,832,SN832,NB Eastern after Bonanza,AtStreetAbbr832,OnStreetAbbr832,DistrictName832,0
4,833,SN833,SB Eastern after Bonanza,AtStreetAbbr833,OnStreetAbbr833,DistrictName833,0
4,837,SN837,SB Eastern after Charleston,AtStreetAbbr837,OnStreetAbbr837,DistrictName837,0
4,842,SN842,NB Eastern after Flamingo,AtStreetAbbr842,OnStreetAbbr842,DistrictName842,0
4,843,SN843,SB Eastern after Flamingo,AtStreetAbbr843,OnStreetAbbr843,DistrictName843,0
4,847,SN847,NB Eastern after Fremont,AtStreetAbbr847,OnStreetAbbr847,DistrictName847,0
4,879,SN879,NB Eastern after Sahara,AtStreetAbbr879,OnStreetAbbr879,DistrictName879,0
4,880,SN880,SB Eastern after Sahara,AtStreetAbbr880,OnStreetAbbr880,DistrictName880,0
4,889,SN889,NB Eastern after Sunset,AtStreetAbbr889,OnStreetAbbr889,DistrictName889,0
4,890,SN890,SB Eastern after Sunset,AtStreetAbbr890,OnStreetAbbr890,DistrictName890,0
4,894,SN894,NB Eastern after Tropicana,AtStreetAbbr894,OnStreetAbbr894,DistrictName894,0
4,895,SN895,SB Eastern after Tropicana,AtStreetAbbr895,OnStreetAbbr895,DistrictName895,0
4,915,SN915,NB Englestad after Recco,AtStreetAbbr915,OnStreetAbbr915,DistrictName915,0
4,933,SN933,EB Flamingo after Decatur,AtStreetAbbr933,OnStreetAbbr933,DistrictName933,0
4,934,SN934,WB Flamingo after Decatur,AtStreetAbbr934,OnStreetAbbr934,DistrictName934,0
4,957,SN957,EB Flamingo after Las Vegas,AtStreetAbbr957,OnStreetAbbr957,DistrictName957,0
4,958,SN958,WB Flamingo after Las Vegas,AtStreetAbbr958,OnStreetAbbr958,DistrictName958,0
4,961,SN961,EB Flamingo after Maryland,AtStreetAbbr961,OnStreetAbbr961,DistrictName961,0
4,962,SN962,WB Flamingo after Maryland,AtStreetAbbr962,OnStreetAbbr962,DistrictName962,0
4,965,SN965,WB Flamingo after Nellis,AtStreetAbbr965,OnStreetAbbr965,DistrictName965,0
4,970,SN970,EB Flamingo after Paradise,AtStreetAbbr970,OnStreetAbbr970,DistrictName970,0
4,971,SN971,WB Flamingo after Paradise,AtStreetAbbr971,OnStreetAbbr971,DistrictName971,0
4,974,SN974,EB Flamingo after Pecos,AtStreetAbbr974,OnStreetAbbr974,DistrictName974,0
4,975,SN975,WB Flamingo after Pecos,AtStreetAbbr975,OnStreetAbbr975,DistrictName975,0
4,978,SN978,EB Flamingo after Rainbow,AtStreetAbbr978,OnStreetAbbr978,DistrictName978,0
4,989,SN989,WB Flamingo after Spring Leaf,AtStreetAbbr989,OnStreetAbbr989,DistrictName989,0
4,1024,SN1024,WB Fremont after Eastern,AtStreetAbbr1024,OnStreetAbbr1024,DistrictName1024,0
4,1031,SN1031,NB Fremont after Sahara,AtStreetAbbr1031,OnStreetAbbr1031,DistrictName1031,0
4,1069,SN1069,SB Green Valley after Warm Springs,AtStreetAbbr1069,OnStreetAbbr1069,DistrictName1069,0
4,1078,SN1078,EB Harmon after Boulder,AtStreetAbbr1078,OnStreetAbbr1078,DistrictName1078,0
4,1136,SN1136,EB Horizon after College,AtStreetAbbr1136,OnStreetAbbr1136,DistrictName1136,0
4,1137,SN1137,WB Horizon after College,AtStreetAbbr1137,OnStreetAbbr1137,DistrictName1137,0
4,1176,SN1176,NB Jones after Charleston,AtStreetAbbr1176,OnStreetAbbr1176,DistrictName1176,0
4,1177,SN1177,SB Jones after Charleston,AtStreetAbbr1177,OnStreetAbbr1177,DistrictName1177,0
4,1179,SN1179,SB Jones after Cheyenne,AtStreetAbbr1179,OnStreetAbbr1179,DistrictName1179,0
4,1203,SN1203,NB Jones after Lake Mead,AtStreetAbbr1203,OnStreetAbbr1203,DistrictName1203,0
4,1204,SN1204,SB Jones after Lake Mead,AtStreetAbbr1204,OnStreetAbbr1204,DistrictName1204,0
4,1217,SN1217,NB Jones after Sahara,AtStreetAbbr1217,OnStreetAbbr1217,DistrictName1217,0
4,1218,SN1218,SB Jones after Sahara,AtStreetAbbr1218,OnStreetAbbr1218,DistrictName1218,0
4,1222,SN1222,NB Jones after Spring Mountain,AtStreetAbbr1222,OnStreetAbbr1222,DistrictName1222,0
4,1223,SN1223,SB Jones after Spring Mountain,AtStreetAbbr1223,OnStreetAbbr1223,DistrictName1223,0
4,1227,SN1227,NB Jones after Tropicana,AtStreetAbbr1227,OnStreetAbbr1227,DistrictName1227,0
4,1237,SN1237,NB Jones after Washington,AtStreetAbbr1237,OnStreetAbbr1237,DistrictName1237,0
4,1238,SN1238,SB Jones after Washington,AtStreetAbbr1238,OnStreetAbbr1238,DistrictName1238,0
4,1257,SN1257,NB Koval after Tropicana,AtStreetAbbr1257,OnStreetAbbr1257,DistrictName1257,0
4,1258,SN1258,SB Koval after Tropicana,AtStreetAbbr1258,OnStreetAbbr1258,DistrictName1258,0
4,1308,SN1308,NB Las Vegas after Pecos,AtStreetAbbr1308,OnStreetAbbr1308,DistrictName1308,0
4,1326,SN1326,SB Las Vegas before Washington,AtStreetAbbr1326,OnStreetAbbr1326,DistrictName1326,0
4,1332,SN1332,NB Las Vegas at the Paris,AtStreetAbbr1332,OnStreetAbbr1332,DistrictName1332,0
4,1343,SN1343,SB Las Vegas after Charleston,AtStreetAbbr1343,OnStreetAbbr1343,DistrictName1343,0
4,1344,SN1344,SB LV Blvd at Slots-A-Fun/Circ Circ,AtStreetAbbr1344,OnStreetAbbr1344,DistrictName1344,0
4,1351,SN1351,SB Las Vegas at Excalibur,AtStreetAbbr1351,OnStreetAbbr1351,DistrictName1351,0
4,1353,SN1353,NB Las Vegas at The Wynn,AtStreetAbbr1353,OnStreetAbbr1353,DistrictName1353,0
4,1354,SN1354,SB Las Vegas at Fashion Show Mall,AtStreetAbbr1354,OnStreetAbbr1354,DistrictName1354,0
4,1358,SN1358,SB LV Blvd at Fremont St Experience,AtStreetAbbr1358,OnStreetAbbr1358,DistrictName1358,0
4,1363,SN1363,NB Las Vegas at Luxor/Mandalay Bay,AtStreetAbbr1363,OnStreetAbbr1363,DistrictName1363,0
4,1364,SN1364,SB Las Vegas at Mandalay Bay,AtStreetAbbr1364,OnStreetAbbr1364,DistrictName1364,0
4,1371,SN1371,NB Las Vegas at MGM/Showcase Mall,AtStreetAbbr1371,OnStreetAbbr1371,DistrictName1371,0
4,1375,SN1375,SB Las Vegas at Luxor,AtStreetAbbr1375,OnStreetAbbr1375,DistrictName1375,0
4,1391,SN1391,NB Las Vegas after Sahara,AtStreetAbbr1391,OnStreetAbbr1391,DistrictName1391,0
4,1409,SN1409,NB Las Vegas after Wigwam,AtStreetAbbr1409,OnStreetAbbr1409,DistrictName1409,0
4,1410,SN1410,SB Las Vegas before Wigwam,AtStreetAbbr1410,OnStreetAbbr1410,DistrictName1410,0
4,1444,SN1444,EB Lake Mead after Decatur,AtStreetAbbr1444,OnStreetAbbr1444,DistrictName1444,0
4,1445,SN1445,WB Lake Mead after Decatur,AtStreetAbbr1445,OnStreetAbbr1445,DistrictName1445,0
4,1458,SN1458,EB Lake Mead after Las Vegas,AtStreetAbbr1458,OnStreetAbbr1458,DistrictName1458,0
4,1459,SN1459,WB Lake Mead after Las Vegas,AtStreetAbbr1459,OnStreetAbbr1459,DistrictName1459,0
4,1473,SN1473,EB Lake Mead after Martin L King,AtStreetAbbr1473,OnStreetAbbr1473,DistrictName1473,0
4,1474,SN1474,WB Lake Mead after Martin L King,AtStreetAbbr1474,OnStreetAbbr1474,DistrictName1474,0
4,1486,SN1486,EB Lake Mead after Nellis,AtStreetAbbr1486,OnStreetAbbr1486,DistrictName1486,0
4,1487,SN1487,WB Lake Mead after Nellis,AtStreetAbbr1487,OnStreetAbbr1487,DistrictName1487,0
4,1491,SN1491,EB Lake Mead after Pecos,AtStreetAbbr1491,OnStreetAbbr1491,DistrictName1491,0
4,1492,SN1492,WB Lake Mead after Pecos,AtStreetAbbr1492,OnStreetAbbr1492,DistrictName1492,0
4,1496,SN1496,WB Lake Mead after Radwick,AtStreetAbbr1496,OnStreetAbbr1496,DistrictName1496,0
4,1497,SN1497,WB Lake Mead before Rainbow,AtStreetAbbr1497,OnStreetAbbr1497,DistrictName1497,0
4,1498,SN1498,EB Lake Mead after Rainbow,AtStreetAbbr1498,OnStreetAbbr1498,DistrictName1498,0
4,1530,SN1530,EB Lake Mead after Boulder,AtStreetAbbr1530,OnStreetAbbr1530,DistrictName1530,0
4,1563,SN1563,NB Lamb after Charleston,AtStreetAbbr1563,OnStreetAbbr1563,DistrictName1563,0
4,1564,SN1564,SB Lamb after Charleston,AtStreetAbbr1564,OnStreetAbbr1564,DistrictName1564,0
4,1571,SN1571,NB Lamb after Craig,AtStreetAbbr1571,OnStreetAbbr1571,DistrictName1571,0
4,1572,SN1572,SB Lamb after Craig,AtStreetAbbr1572,OnStreetAbbr1572,DistrictName1572,0
4,1586,SN1586,NB Lamb after Lake Mead,AtStreetAbbr1586,OnStreetAbbr1586,DistrictName1586,0
4,1587,SN1587,SB Lamb before Lake Mead,AtStreetAbbr1587,OnStreetAbbr1587,DistrictName1587,0
4,1618,SN1618,WB Lone Mountain after Rancho,AtStreetAbbr1618,OnStreetAbbr1618,DistrictName1618,0
4,1649,SN1649,NB Martin L King after Cheyenne,AtStreetAbbr1649,OnStreetAbbr1649,DistrictName1649,0
4,1650,SN1650,SB Martin L King after Cheyenne,AtStreetAbbr1650,OnStreetAbbr1650,DistrictName1650,0
4,1651,SN1651,NB Camino Al Norte after Craig,AtStreetAbbr1651,OnStreetAbbr1651,DistrictName1651,0
4,1652,SN1652,SB Martin L King after Craig,AtStreetAbbr1652,OnStreetAbbr1652,DistrictName1652,0
4,1661,SN1661,NB Martin L King after Lake Mead,AtStreetAbbr1661,OnStreetAbbr1661,DistrictName1661,0
4,1662,SN1662,SB Martin L King after Lake Mead,AtStreetAbbr1662,OnStreetAbbr1662,DistrictName1662,0
4,1675,SN1675,NB Martin L King after Washington,AtStreetAbbr1675,OnStreetAbbr1675,DistrictName1675,0
4,1676,SN1676,SB Martin L King after Washington,AtStreetAbbr1676,OnStreetAbbr1676,DistrictName1676,0
4,1685,SN1685,SB Main after Bridger,AtStreetAbbr1685,OnStreetAbbr1685,DistrictName1685,0
4,1718,SN1718,NB Maryland after Bonanza,AtStreetAbbr1718,OnStreetAbbr1718,DistrictName1718,0
4,1719,SN1719,SB Maryland after Bonanza,AtStreetAbbr1719,OnStreetAbbr1719,DistrictName1719,0
4,1726,SN1726,NB Maryland before Charleston,AtStreetAbbr1726,OnStreetAbbr1726,DistrictName1726,0
4,1727,SN1727,SB Maryland after Charleston,AtStreetAbbr1727,OnStreetAbbr1727,DistrictName1727,0
4,1732,SN1732,SB Maryland after Desert Inn,AtStreetAbbr1732,OnStreetAbbr1732,DistrictName1732,0
4,1733,SN1733,NB Maryland after Flamingo,AtStreetAbbr1733,OnStreetAbbr1733,DistrictName1733,0
4,1735,SN1735,SB Maryland after Flamingo,AtStreetAbbr1735,OnStreetAbbr1735,DistrictName1735,0
4,1763,SN1763,NB Maryland after Sahara,AtStreetAbbr1763,OnStreetAbbr1763,DistrictName1763,0
4,1764,SN1764,SB Maryland after Sahara,AtStreetAbbr1764,OnStreetAbbr1764,DistrictName1764,0
4,1766,SN1766,NB Maryland before Desert Inn,AtStreetAbbr1766,OnStreetAbbr1766,DistrictName1766,0
4,1774,SN1774,NB Maryland before Tropicana,AtStreetAbbr1774,OnStreetAbbr1774,DistrictName1774,0
4,1775,SN1775,SB Maryland after Tropicana,AtStreetAbbr1775,OnStreetAbbr1775,DistrictName1775,0
4,1776,SN1776,NB Maryland after Twain,AtStreetAbbr1776,OnStreetAbbr1776,DistrictName1776,0
4,1785,SN1785,McCarran Airprt Zero Lvl On Proprty,AtStreetAbbr1785,OnStreetAbbr1785,DistrictName1785,0
4,1793,SN1793,NB McLeod after Sahara,AtStreetAbbr1793,OnStreetAbbr1793,DistrictName1793,0
4,1794,SN1794,SB McLeod after Sahara,AtStreetAbbr1794,OnStreetAbbr1794,DistrictName1794,0
4,1819,SN1819,WB Tropicana after Andover,AtStreetAbbr1819,OnStreetAbbr1819,DistrictName1819,0
4,1847,SN1847,NB Nellis after Bonanza,AtStreetAbbr1847,OnStreetAbbr1847,DistrictName1847,0
4,1848,SN1848,SB Nellis after Bonanza,AtStreetAbbr1848,OnStreetAbbr1848,DistrictName1848,0
4,1849,SN1849,NB Nellis after Boulder,AtStreetAbbr1849,OnStreetAbbr1849,DistrictName1849,0
4,1850,SN1850,SB Nellis after Boulder,AtStreetAbbr1850,OnStreetAbbr1850,DistrictName1850,0
4,1857,SN1857,NB Nellis after Charleston,AtStreetAbbr1857,OnStreetAbbr1857,DistrictName1857,0
4,1858,SN1858,SB Nellis after Charleston,AtStreetAbbr1858,OnStreetAbbr1858,DistrictName1858,0
4,1859,SN1859,NB Nellis after Cheyenne,AtStreetAbbr1859,OnStreetAbbr1859,DistrictName1859,0
4,1860,SN1860,SB Nellis after Cheyenne,AtStreetAbbr1860,OnStreetAbbr1860,DistrictName1860,0
4,1862,SN1862,NB Nellis after Desert Inn,AtStreetAbbr1862,OnStreetAbbr1862,DistrictName1862,0
4,1863,SN1863,SB Nellis after Desert Inn,AtStreetAbbr1863,OnStreetAbbr1863,DistrictName1863,0
4,1883,SN1883,NB Nellis after Lake Mead,AtStreetAbbr1883,OnStreetAbbr1883,DistrictName1883,0
4,1884,SN1884,SB Nellis after Lake Mead,AtStreetAbbr1884,OnStreetAbbr1884,DistrictName1884,0
4,1890,SN1890,NB Nellis after Owens,AtStreetAbbr1890,OnStreetAbbr1890,DistrictName1890,0
4,1894,SN1894,NB Nellis after Sahara,AtStreetAbbr1894,OnStreetAbbr1894,DistrictName1894,0
4,1895,SN1895,SB Nellis after Sahara,AtStreetAbbr1895,OnStreetAbbr1895,DistrictName1895,0
4,1902,SN1902,NB Nellis after Tropicana,AtStreetAbbr1902,OnStreetAbbr1902,DistrictName1902,0
4,1903,SN1903,SB Nellis after Tropicana,AtStreetAbbr1903,OnStreetAbbr1903,DistrictName1903,0
4,1915,SN1915,WB Nevada after Elm,AtStreetAbbr1915,OnStreetAbbr1915,DistrictName1915,0
4,1982,SN1982,EB Owens after N,AtStreetAbbr1982,OnStreetAbbr1982,DistrictName1982,0
4,1993,SN1993,WB Owens after Civic Center,AtStreetAbbr1993,OnStreetAbbr1993,DistrictName1993,0
4,1997,SN1997,EB Owens after Eastern,AtStreetAbbr1997,OnStreetAbbr1997,DistrictName1997,0
4,2004,SN2004,EB Owens before Las Vegas,AtStreetAbbr2004,OnStreetAbbr2004,DistrictName2004,0
4,2005,SN2005,WB Owens after Las Vegas,AtStreetAbbr2005,OnStreetAbbr2005,DistrictName2005,0
4,2017,SN2017,WB Owens before Nellis,AtStreetAbbr2017,OnStreetAbbr2017,DistrictName2017,0
4,2019,SN2019,WB Owens after Nellis,AtStreetAbbr2019,OnStreetAbbr2019,DistrictName2019,0
4,2024,SN2024,EB Owens after Pecos,AtStreetAbbr2024,OnStreetAbbr2024,DistrictName2024,0
4,2025,SN2025,WB Owens after Pecos,AtStreetAbbr2025,OnStreetAbbr2025,DistrictName2025,0
4,2043,SN2043,SB Palm after Charleston,AtStreetAbbr2043,OnStreetAbbr2043,DistrictName2043,0
4,2059,SN2059,SB Paradise after Desert Inn,AtStreetAbbr2059,OnStreetAbbr2059,DistrictName2059,0
4,2061,SN2061,SB Paradise after Flamingo,AtStreetAbbr2061,OnStreetAbbr2061,DistrictName2061,0
4,2069,SN2069,SB Paradise after Sahara,AtStreetAbbr2069,OnStreetAbbr2069,DistrictName2069,0
4,2072,SN2072,SB Paradise before Tropicana,AtStreetAbbr2072,OnStreetAbbr2072,DistrictName2072,0
4,2096,SN2096,NB Pecos after Charleston,AtStreetAbbr2096,OnStreetAbbr2096,DistrictName2096,0
4,2101,SN2101,NB Pecos before Flamingo,AtStreetAbbr2101,OnStreetAbbr2101,DistrictName2101,0
4,2111,SN2111,NB Pecos after Las Vegas,AtStreetAbbr2111,OnStreetAbbr2111,DistrictName2111,0
4,2112,SN2112,NB Pecos after Lake Mead,AtStreetAbbr2112,OnStreetAbbr2112,DistrictName2112,0
4,2113,SN2113,SB Pecos after Lake Mead,AtStreetAbbr2113,OnStreetAbbr2113,DistrictName2113,0
4,2114,SN2114,SB Pecos after Las Vegas,AtStreetAbbr2114,OnStreetAbbr2114,DistrictName2114,0
4,2136,SN2136,NB Pecos after Sunset,AtStreetAbbr2136,OnStreetAbbr2136,DistrictName2136,0
4,2139,SN2139,NB Pecos after Tropicana,AtStreetAbbr2139,OnStreetAbbr2139,DistrictName2139,0
4,2140,SN2140,SB Pecos after Tropicana,AtStreetAbbr2140,OnStreetAbbr2140,DistrictName2140,0
4,2181,SN2181,NB Rainbow after Alta,AtStreetAbbr2181,OnStreetAbbr2181,DistrictName2181,0
4,2182,SN2182,SB Rainbow after Alta,AtStreetAbbr2182,OnStreetAbbr2182,DistrictName2182,0
4,2186,SN2186,NB Rainbow after Charleston,AtStreetAbbr2186,OnStreetAbbr2186,DistrictName2186,0
4,2187,SN2187,SB Rainbow after Charleston,AtStreetAbbr2187,OnStreetAbbr2187,DistrictName2187,0
4,2188,SN2188,NB Rainbow after Cheyenne,AtStreetAbbr2188,OnStreetAbbr2188,DistrictName2188,0
4,2189,SN2189,SB Rainbow after Cheyenne,AtStreetAbbr2189,OnStreetAbbr2189,DistrictName2189,0
4,2200,SN2200,NB Rainbow after Flamingo,AtStreetAbbr2200,OnStreetAbbr2200,DistrictName2200,0
4,2201,SN2201,SB Rainbow after Flamingo,AtStreetAbbr2201,OnStreetAbbr2201,DistrictName2201,0
4,2210,SN2210,NB Rainbow after Lake Mead,AtStreetAbbr2210,OnStreetAbbr2210,DistrictName2210,0
4,2211,SN2211,SB Rainbow after Lake Mead,AtStreetAbbr2211,OnStreetAbbr2211,DistrictName2211,0
4,2228,SN2228,NB Rainbow after Sahara,AtStreetAbbr2228,OnStreetAbbr2228,DistrictName2228,0
4,2229,SN2229,SB Rainbow after Sahara,AtStreetAbbr2229,OnStreetAbbr2229,DistrictName2229,0
4,2234,SN2234,NB Rainbow after Spring Mountain,AtStreetAbbr2234,OnStreetAbbr2234,DistrictName2234,0
4,2235,SN2235,SB Rainbow after Spring Mountain,AtStreetAbbr2235,OnStreetAbbr2235,DistrictName2235,0
4,2245,SN2245,SB Rainbow after Tropicana,AtStreetAbbr2245,OnStreetAbbr2245,DistrictName2245,0
4,2252,SN2252,NB Rainbow after Washington,AtStreetAbbr2252,OnStreetAbbr2252,DistrictName2252,0
4,2253,SN2253,SB Rainbow after Washington,AtStreetAbbr2253,OnStreetAbbr2253,DistrictName2253,0
