12/05/21
December 5, 2021 (OS-47186)
Run_id,Block_id,Block_no,PassingTime,DayMap,TimePointID,Trip_id,Trip_no,Route,Var,Trip Direction,ScheduleType,TripType,TripPatternID,WorkID2,WorkID1,GarageID,Garage Name,Original DayMap,,Division
00002,0043,100043,26220,,4000063,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,26640,,4000576,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,27480,,4000299,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,27900,,4001022,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,27900,,4001022,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,28020,,4000340,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,28440,,4000715,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,29580,,6000930,9,9,35,,Northbound,Wkdy,Revenue,NMain,0000002,,3000,,,,3000
00002,0043,100043,30540,,6000930,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,31200,,4000716,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,31560,,4000360,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,31800,,4001018,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,31800,,4001018,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,32220,,4000301,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,33180,,4000576,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
00002,0043,100043,33540,,4000142,10,10,35,,Southbound,Wkdy,Revenue,SMain,0000002,,3000,,,,3000
