record type,bus stop id,bus stop short name,bus stop long name,longitude,latitude
90,441,SN441,SB Center after Ivy,-114.967334,36.042767
90,442,SN442,SB Center after Maple,-114.96739,36.039908
90,443,SN443,WB Warm Springs before Center,-114.966306,36.050308
90,445,SN445,EB Charleston after 10th,-115.140084,36.158745
90,446,SN446,WB Charleston after Gass,-115.141786,36.158938
90,449,SN449,EB Charleston after Hillside,-115.129811,36.158754
90,451,SN451,EB Charleston after 28th,-115.110957,36.158699
90,452,SN452,WB Charleston after 28th,-115.112364,36.158946
90,453,SN453,EB Charleston after Antelope,-115.249912,36.158978
90,455,SN455,EB Charleston after Arden,-115.073841,36.158867
90,456,SN456,WB Charleston after Arville,-115.200271,36.159159
90,458,SN458,EB Charleston after Broadalbin,-115.082766,36.158815
90,459,SN459,EB Charleston after Bruce,-115.124453,36.158752
90,460,SN460,WB Charleston after Bruce,-115.125824,36.158978
90,461,SN461,WB Charleston after Brush,-115.210909,36.159224
90,462,SN462,EB Charleston after Brush,-115.209626,36.158962
90,463,SN463,EB Charleston after Buffalo,-115.261609,36.158991
90,464,SN464,EB Charleston after Cahlan,-115.178365,36.158821
90,465,SN465,EB Charleston after Campbell,-115.182829,36.158846
90,466,SN466,WB Charleston after Campbell,-115.18398,36.159067
90,467,SN467,EB Charleston after Cashman,-115.185964,36.158864
90,473,SN473,EB Charleston after Decatur,-115.20473,36.158943
90,474,SN474,WB Charleston after Decatur,-115.206551,36.159218
90,477,SN477,EB Charleston after Durango,-115.279466,36.158958
90,478,SN478,WB Charleston after Durango,-115.280807,36.159175
90,479,SN479,WB Charleston after Eastern,-115.119857,36.158962
90,480,SN480,EB Charleston after Faircenter,-115.200781,36.158945
90,482,SN482,EB Charleston before Frank,-115.067983,36.15886
90,484,SN484,EB Charleston after Hinson,-115.194804,36.158911
90,486,SN486,WB Charleston after Honolulu,-115.094151,36.158963
90,487,SN487,EB Charleston after Jones,-115.222962,36.159051
90,488,SN488,WB Charleston after Jones,-115.224926,36.159309
90,489,SN489,EB Charleston after Las Vegas,-115.147005,36.158734
90,490,SN490,WB Charleston after Las Vegas,-115.148204,36.158957
90,491,SN491,EB Charleston after Lamb,-115.078797,36.158829
90,492,SN492,WB Charleston after Lamb,-115.081736,36.159073
90,495,SN495,WB Charleston before Marion,-115.073652,36.159131
90,496,SN496,WB Charleston after Marion,-115.07665,36.159101
90,497,SN497,EB Charleston after Maryland,-115.136234,36.158763
90,498,SN498,WB Charleston after Maryland,-115.13779,36.159004
90,499,SN499,EB Charleston after Mohawk,-115.214512,36.159037
90,500,SN500,WB Charleston after Mohawk,-115.215781,36.159288
90,501,SN501,EB Charleston before Mojave,-115.106353,36.158725
90,502,SN502,WB Charleston after Mojave,-115.106102,36.158947
90,503,SN503,EB Charleston after Nellis,-115.061301,36.15895
90,504,SN504,WB Charleston after Nellis,-115.063968,36.159153
90,507,SN507,WB Charleston after Odette,-115.287579,36.15921
90,508,SN508,EB Charleston after Palm,-115.100674,36.158722
90,509,SN509,EB Charleston before Plantation,-115.255819,36.158999
90,510,SN510,WB Charleston after Palmhurst,-115.255654,36.159212
90,511,SN511,WB Charleston before Pecos,-115.099004,36.158977
90,512,SN512,WB Charleston after Pecos,-115.102265,36.158976
90,515,SN515,EB Charleston after Rainbow,-115.242706,36.15901
90,516,SN516,WB Charleston after Rainbow,-115.244603,36.159235
90,517,SN517,EB Charleston after Rancho,-115.172033,36.158762
90,518,SN518,WB Charleston after Rancho,-115.173398,36.159007
90,519,SN519,WB Charleston after Redwood,-115.239945,36.159242
90,522,SN522,EB Charleston after Sacramento,-115.087007,36.158796
90,523,SN523,WB Charleston after Sacramento,-115.088303,36.159001
90,524,SN524,EB Charleston before Sandhill,-115.094607,36.158711
90,525,SN525,EB Charleston before Torrey Pines,-115.238767,36.159018
90,527,SN527,WB Charleston after Shetland,-115.178297,36.159032
90,529,SN529,WB Charleston before Linn,-115.048505,36.159523
90,530,SN530,EB Charleston after Tomsik,-115.272341,36.158971
90,531,SN531,WB Charleston after Tonopah,-115.170629,36.159018
90,532,SN532,WB Charleston before Torrey Pines,-115.232072,36.159302
90,533,SN533,EB Charleston after Torrey Pines,-115.23402,36.159055
90,534,SN534,WB Charleston after Torrey Pines,-115.235842,36.15926
90,535,SN535,WB Charleston after Upland,-115.220527,36.159286
